confidence,lane,speed,status,timestamp,track_id,type,time_headway
35%,1,33.4,Lento,11:15:53,5,car,--
58%,5,35.5,Lento,11:15:53,6,car,--
60%,2,34.6,Lento,11:15:54,26,car,--
73%,4,38.8,Lento,11:15:54,22,car,--
51%,1,42.7,Normal,11:15:55,25,car,2.0
61%,3,39.6,Lento,11:15:55,31,car,--
78%,4,33.2,Lento,11:15:55,50,car,1.0
47%,1,40.5,Normal,11:15:56,56,car,1.0
76%,5,33.9,Lento,11:15:57,80,car,4.0
69%,2,30.6,Lento,11:15:57,113,car,3.0
91%,3,31.8,Lento,11:15:58,122,car,3.0
38%,1,40.2,Lento,11:15:58,105,car,2.0
69%,4,41.7,Normal,11:15:59,127,car,4.0
59%,2,40.3,Normal,11:15:59,136,car,2.0
46%,1,40.4,Normal,11:15:59,146,car,1.0
73%,3,40.4,Lento,11:16:00,151,car,2.0
66%,5,37.2,Lento,11:16:00,155,car,3.0
69%,4,36.8,Lento,11:16:00,154,car,1.0
47%,1,31.9,Lento,11:16:01,174,car,2.0
16%,1,41.3,Normal,11:16:01,168,bus,0.0
14%,4,30.5,Lento,11:16:01,204,car,1.0
58%,4,32.7,Lento,11:16:01,175,car,0.0
68%,3,40.3,Lento,11:16:02,171,car,2.0
70%,5,34.7,Lento,11:16:02,200,car,2.0
69%,2,40.0,Lento,11:16:03,196,car,4.0
73%,4,34.3,Lento,11:16:03,221,car,2.0
69%,5,37.1,Lento,11:16:03,228,car,1.0
41%,1,36.3,Lento,11:16:04,229,car,3.0
84%,3,40.4,Normal,11:16:04,222,car,2.0
62%,2,36.5,Lento,11:16:04,232,car,1.0
77%,5,35.4,Lento,11:16:05,239,car,2.0
31%,3,34.2,Lento,11:16:05,241,car,1.0
74%,4,36.4,Lento,11:16:06,251,car,3.0
65%,5,33.5,Lento,11:16:07,272,car,2.0
59%,2,31.1,Lento,11:16:07,274,car,3.0
65%,3,40.5,Lento,11:16:07,254,car,2.0
40%,1,31.3,Lento,11:16:07,278,car,3.0
14%,1,40.5,Normal,11:16:07,267,car,0.0
71%,3,31.3,Lento,11:16:08,288,car,1.0
57%,1,33.2,Lento,11:16:08,285,car,1.0
65%,4,34.1,Lento,11:16:08,293,car,2.0
38%,3,39.1,Lento,11:16:09,286,car,1.0
60%,5,36.4,Lento,11:16:09,299,car,2.0
19%,1,37.8,Lento,11:16:09,298,car,1.0
47%,1,31.2,Lento,11:16:09,305,car,0.0
79%,3,39.4,Lento,11:16:10,302,car,1.0
66%,5,38.5,Lento,11:16:11,317,car,2.0
63%,2,38.5,Lento,11:16:11,316,car,4.0
80%,4,38.8,Lento,11:16:11,321,car,3.0
73%,3,40.6,Normal,11:16:12,327,car,2.0
49%,2,37.9,Lento,11:16:12,330,car,1.0
74%,5,34.5,Lento,11:16:13,336,car,2.0
81%,3,41.6,Normal,11:16:13,332,car,1.0
75%,4,38.3,Lento,11:16:13,338,car,2.0
74%,2,38.0,Lento,11:16:14,341,car,2.0
63%,3,30.8,Lento,11:16:14,350,car,1.0
75%,5,34.5,Lento,11:16:15,349,car,2.0
80%,4,37.8,Lento,11:16:15,357,car,2.0
78%,3,30.8,Lento,11:16:16,379,car,2.0
73%,4,32.5,Lento,11:16:16,381,car,1.0
51%,1,37.4,Lento,11:16:17,383,car,8.0
53%,3,31.4,Lento,11:16:17,394,car,1.0
74%,4,37.8,Lento,11:16:18,403,car,2.0
76%,3,39.1,Lento,11:16:19,406,car,2.0
61%,5,39.0,Lento,11:16:20,412,car,5.0
42%,3,41.2,Normal,11:16:20,409,car,1.0
45%,1,35.3,Lento,11:16:20,428,car,3.0
65%,4,33.9,Lento,11:16:21,433,car,3.0
62%,5,38.7,Lento,11:16:21,443,car,1.0
44%,2,37.1,Lento,11:16:21,448,car,7.0
75%,4,32.6,Lento,11:16:22,461,car,1.0
69%,5,34.3,Lento,11:16:22,464,car,1.0
72%,3,40.5,Normal,11:16:22,450,car,2.0
19%,1,35.9,Lento,11:16:23,477,car,3.0
59%,4,32.7,Lento,11:16:23,480,car,1.0
65%,5,36.1,Lento,11:16:24,482,car,2.0
66%,4,31.3,Lento,11:16:25,519,car,2.0
69%,3,42.2,Normal,11:16:25,485,car,3.0
67%,2,37.4,Lento,11:16:25,513,car,4.0
13%,1,36.7,Lento,11:16:25,521,truck,2.0
67%,5,34.9,Lento,11:16:26,526,car,2.0
42%,2,37.7,Lento,11:16:27,540,car,2.0
76%,5,35.3,Lento,11:16:27,551,car,1.0
59%,4,37.7,Lento,11:16:28,561,car,3.0
89%,3,38.9,Lento,11:16:28,548,car,3.0
68%,5,35.0,Lento,11:16:28,577,car,1.0
63%,2,38.8,Lento,11:16:29,582,car,2.0
19%,1,37.4,Lento,11:16:29,594,car,4.0
19%,1,31.1,Lento,11:16:29,611,car,0.0
53%,4,35.4,Lento,11:16:29,604,car,1.0
74%,5,32.6,Lento,11:16:31,628,car,3.0
50%,3,32.5,Lento,11:16:31,624,car,3.0
59%,2,38.2,Lento,11:16:31,627,car,2.0
12%,1,30.9,Lento,11:16:31,646,car,2.0
20%,1,30.7,Lento,11:16:31,647,car,0.0
26%,4,31.6,Lento,11:16:31,645,car,2.0
68%,3,32.4,Lento,11:16:33,657,car,2.0
64%,5,36.1,Lento,11:16:33,661,car,2.0
34%,1,34.4,Lento,11:16:34,672,car,3.0
38%,2,35.8,Lento,11:16:34,674,car,3.0
43%,3,30.8,Lento,11:16:34,686,car,1.0
33%,1,36.9,Lento,11:16:35,706,car,1.0
63%,3,41.7,Normal,11:16:36,694,car,2.0
68%,5,34.9,Lento,11:16:37,731,car,4.0
51%,1,37.4,Lento,11:16:37,727,car,2.0
39%,4,38.4,Lento,11:16:37,721,car,6.0
44%,3,32.2,Lento,11:16:37,742,car,1.0
47%,1,38.5,Lento,11:16:38,744,car,1.0
64%,2,35.9,Lento,11:16:38,755,car,4.0
63%,5,33.1,Lento,11:16:38,759,car,1.0
73%,3,40.9,Normal,11:16:39,774,car,2.0
55%,2,37.4,Lento,11:16:39,796,car,1.0
23%,5,31.1,Lento,11:16:40,813,car,2.0
66%,2,36.8,Lento,11:16:41,830,car,2.0
76%,3,33.7,Lento,11:16:41,829,car,2.0
58%,5,33.8,Lento,11:16:41,835,car,1.0
55%,4,40.9,Normal,11:16:42,837,car,5.0
66%,2,37.5,Lento,11:16:42,839,car,1.0
72%,2,33.2,Lento,11:16:43,857,car,1.0
77%,5,39.2,Lento,11:16:43,848,car,2.0
63%,3,42.0,Normal,11:16:44,856,car,3.0
50%,2,31.6,Lento,11:16:44,867,car,1.0
35%,2,30.5,Lento,11:16:44,870,car,0.0
80%,4,34.6,Lento,11:16:44,866,car,2.0
75%,2,35.3,Lento,11:16:45,872,car,1.0
19%,3,34.0,Lento,11:16:45,890,car,1.0
68%,5,35.7,Lento,11:16:45,889,car,2.0
49%,1,31.1,Lento,11:16:45,906,car,7.0
34%,1,38.2,Lento,11:16:45,891,car,0.0
52%,2,31.3,Lento,11:16:46,905,car,1.0
62%,4,33.7,Lento,11:16:46,903,car,2.0
67%,5,35.7,Lento,11:16:47,910,car,2.0
70%,2,36.4,Lento,11:16:47,915,car,1.0
65%,3,31.7,Lento,11:16:47,923,car,2.0
64%,5,34.5,Lento,11:16:47,920,car,0.0
65%,4,38.9,Lento,11:16:48,919,car,2.0
69%,5,34.6,Lento,11:16:49,945,car,2.0
72%,3,39.0,Lento,11:16:49,942,car,2.0
22%,1,39.4,Lento,11:16:50,964,car,5.0
22%,1,30.9,Lento,11:16:50,973,car,0.0
49%,3,37.2,Lento,11:16:50,971,car,1.0
39%,2,37.2,Lento,11:16:50,974,car,3.0
73%,5,39.5,Lento,11:16:51,983,car,2.0
76%,4,39.9,Lento,11:16:51,980,car,3.0
19%,1,35.6,Lento,11:16:51,985,car,1.0
28%,1,31.5,Lento,11:16:51,989,car,0.0
72%,3,40.7,Normal,11:16:52,1002,car,2.0
51%,5,36.6,Lento,11:16:53,1013,car,2.0
62%,3,30.6,Lento,11:16:53,1063,car,1.0
46%,4,31.2,Lento,11:16:53,1060,car,2.0
37%,2,34.4,Lento,11:16:54,1038,car,4.0
67%,5,35.2,Lento,11:16:54,1064,car,1.0
51%,1,30.9,Lento,11:16:55,1079,car,4.0
34%,1,36.5,Lento,11:16:55,1071,car,0.0
65%,3,38.4,Lento,11:16:55,1072,car,2.0
37%,4,35.7,Lento,11:16:55,1074,car,2.0
66%,5,34.8,Lento,11:16:55,1077,car,1.0
59%,2,35.8,Lento,11:16:56,1081,car,2.0
74%,3,36.4,Lento,11:16:56,1091,car,1.0
27%,1,34.7,Lento,11:16:57,1103,car,2.0
65%,5,37.4,Lento,11:16:57,1106,car,2.0
82%,2,37.5,Lento,11:16:57,1108,car,1.0
72%,3,38.3,Lento,11:16:58,1122,car,2.0
36%,1,33.4,Lento,11:16:58,1141,car,1.0
64%,2,34.0,Lento,11:16:59,1151,car,2.0
51%,5,31.8,Lento,11:16:59,1156,car,2.0
84%,4,31.4,Lento,11:16:59,1157,car,4.0
36%,3,37.7,Lento,11:17:00,1160,car,2.0
60%,5,37.2,Lento,11:17:00,1161,car,1.0
52%,2,37.2,Lento,11:17:00,1168,car,1.0
78%,4,35.5,Lento,11:17:01,1173,car,2.0
59%,5,36.0,Lento,11:17:01,1176,car,1.0
41%,2,38.2,Lento,11:17:02,1188,car,2.0
69%,3,39.1,Lento,11:17:02,1191,car,2.0
54%,5,36.9,Lento,11:17:02,1192,car,1.0
78%,4,35.9,Lento,11:17:03,1195,car,2.0
52%,2,37.5,Lento,11:17:03,1205,car,1.0
57%,5,37.3,Lento,11:17:04,1232,car,2.0
67%,3,38.0,Lento,11:17:04,1233,car,2.0
78%,4,39.7,Lento,11:17:04,1242,car,1.0
51%,2,37.8,Lento,11:17:04,1244,car,1.0
69%,3,39.6,Lento,11:17:05,1257,car,1.0
64%,5,37.2,Lento,11:17:06,1262,car,2.0
65%,2,39.4,Lento,11:17:06,1264,car,2.0
82%,4,39.7,Lento,11:17:06,1269,car,2.0
53%,3,36.8,Lento,11:17:07,1293,car,2.0
70%,5,40.2,Lento,11:17:07,1286,car,1.0
62%,2,37.6,Lento,11:17:08,1295,car,2.0
40%,1,34.7,Lento,11:17:08,1299,car,10.0
